cn,en
炳明的 shiny 工具|Bingm's shinytools
重医儿院,CHCMU
炳明,Bingm
中文,English
欢迎使用 GraphMed,Welcome to GraphMed
医学数据可视化,Medical data visualization

使用说明,Help

微信,Wechat
支付宝,Alipay

Q-PCR 结果分析,Q-PCR analysis


输入数据,Input data
输入文件,Input file
格式：.csv .xlsx .xls,Format: .csv .xlsx .xls
参考数据,Smaple data
计算结果,Result
拟合类型,Fitting mode
拟合图形,Fitting plot
下载图形,DownloadPlot
下载图宽,width of plot
下载图高,high of plot
分辨率,res of plot


数据来源：,Data sources: 

图形标签,Graphic labels
标题,title
标题：,title:
图例,legend
标签字号,Label font size
低值颜色,Low-value color
中值颜色,Middle-value color
高值颜色,High-value color

参数设置,Parameter settings
内参基因,Internal reference
对照样本,Control sample
结果选择,Result selection
计数结果,Result
目的基因,Target gene
开始画图,Start drawing
表达图形,Express graphics


结果,Result
结果数据,Result data
方法,method


图形,Plot
箱图,Boxplot
选择基因,Select gene

p 值 x 坐标,label.x
p 值 y 坐标,label.y
x 轴标签,xlab
y 轴标签,ylab
主题,Theme

下载矩阵行数：,Matrix rows:
对照组：,Control group:
实验组：,Experimental group:
过滤低表达基因(矩阵每行和≥),Filter low-expression genes(rowSum ≥)

标准化方式：,Standardized method
基因排序方式：,Gene sequencing
图形选择：,Graphic selection:
图形选择,Graphic selection
图形参数,Plot parameters


输入数据类型,Input data type

y轴标签：,ylab:
x轴标签：,xlab:
y轴标签,ylab
x轴标签,xlab

